time	V(n001)	V(n003)
6.575773596955610e-03	-5.000000e+00	-4.653531e+00
6.585539221955610e-03	-5.000000e+00	-4.220242e+00
6.595304846955610e-03	-5.000000e+00	-3.827297e+00
6.605070471955609e-03	-5.000000e+00	-3.470939e+00
6.614836096955609e-03	-5.000000e+00	-3.147762e+00
6.624601721955609e-03	-5.000000e+00	-2.854676e+00
6.634367346955609e-03	-5.000000e+00	-2.588880e+00
6.644132971955609e-03	-5.000000e+00	-2.347832e+00
6.653898596955608e-03	-5.000000e+00	-2.129228e+00
6.663664221955608e-03	-5.000000e+00	-1.930979e+00
6.673429846955608e-03	-5.000000e+00	-1.751188e+00
6.683195471955608e-03	-5.000000e+00	-1.588139e+00
6.692961096955607e-03	-5.000000e+00	-1.440270e+00
6.702726721955607e-03	-5.000000e+00	-1.306170e+00
6.712492346955607e-03	-5.000000e+00	-1.184557e+00
6.722257971955607e-03	-5.000000e+00	-1.074266e+00
6.732023596955607e-03	-5.000000e+00	-9.742452e-01
6.741789221955606e-03	-5.000000e+00	-8.835371e-01
6.751554846955606e-03	-5.000000e+00	-8.012750e-01
6.761320471955606e-03	-5.000000e+00	-7.266723e-01
6.771086096955606e-03	-5.000000e+00	-6.590160e-01
6.780851721955606e-03	-5.000000e+00	-5.976591e-01
6.790617346955605e-03	-5.000000e+00	-5.420153e-01
6.800382971955605e-03	-5.000000e+00	-4.915525e-01
6.810148596955605e-03	-5.000000e+00	-4.457883e-01
6.819914221955605e-03	-5.000000e+00	-4.042853e-01
6.829679846955605e-03	-5.000000e+00	-3.666466e-01
6.839445471955604e-03	-5.000000e+00	-3.325126e-01
6.849211096955604e-03	-5.000000e+00	-3.015567e-01
6.858976721955604e-03	-5.000000e+00	-2.734832e-01
6.868742346955604e-03	-5.000000e+00	-2.480236e-01
6.878507971955604e-03	-5.000000e+00	-2.249346e-01
6.888273596955603e-03	-5.000000e+00	-2.039954e-01
6.898039221955603e-03	-5.000000e+00	-1.850059e-01
6.907804846955603e-03	-5.000000e+00	-1.677845e-01
6.917570471955603e-03	-5.000000e+00	-1.521666e-01
6.927336096955602e-03	-5.000000e+00	-1.380029e-01
6.937101721955602e-03	-5.000000e+00	-1.251580e-01
6.946867346955602e-03	-5.000000e+00	-1.135091e-01
6.956632971955602e-03	-5.000000e+00	-1.029449e-01
6.966398596955602e-03	-5.000000e+00	-9.336425e-02
6.976164221955601e-03	-5.000000e+00	-8.467569e-02
6.985929846955601e-03	-5.000000e+00	-7.679613e-02
7.000000000000000e-03	-5.000000e+00	-6.677246e-02
